;island;Richness;Even
mid63;mid;0.071820261;0.251196556
mid64;mid;0.055138667;0.2381021
mid65;mid;0.058224824;0.239483489
mid66;mid;0.068924498;0.24824076
mid67;mid;0.060009906;0.236327288
mid68;mid;0.06900068;0.237394295
mid69;mid;0.05677253;0.231709499
mid7;mid;0.045484149;0.237788081
mid70;mid;0.073738264;0.248444995
mid71;mid;0.034354648;0.230340076
mid72;mid;0.060469132;0.241827094
mid73;mid;0.062416425;0.23526907
mid74;mid;0.067286342;0.25165235
mid75;mid;0.072852465;0.251720256
mid76;mid;0.056258296;0.243147123
mid77;mid;0.049424799;0.23039429
mid78;mid;0.062292491;0.217239958
mid79;mid;0.055453391;0.223196416
mid8;mid;0.051123172;0.254583834
mid80;mid;0.060484728;0.231354231
mid81;mid;0.067602081;0.239353414
mid82;mid;0.074516619;0.241897352
mid83;mid;0.069329388;0.249916697
mid84;mid;0.066844664;0.250053959
mid85;mid;0.063193326;0.225348213
mid86;mid;0.06135275;0.228318522
mid87;mid;0.050356811;0.233452101
mid88;mid;0.061891147;0.22943957
mid89;mid;0.049138005;0.224747199
mid9;mid;0.058749847;0.249606273
mid90;mid;0.043960718;0.252945226
mid91;mid;0.056761156;0.232629936
mid92;mid;0.05603394;0.236127739
mid93;mid;0.06038158;0.246145878
mid94;mid;0.052754473;0.233537608
mid95;mid;0.05085705;0.25264366
mid96;mid;0.063662905;0.240688797
mid97;mid;0.052718979;0.228620647
mid98;mid;0.06605966;0.241110171
mid99;mid;0.047251076;0.245099174
swash1;deep;0.061617003;0.238088645
swash10;deep;0.056999976;0.27786586
swash100;deep;0.073245048;0.23327029
swash11;deep;0.06588378;0.236216084
swash12;deep;0.073628475;0.232888565
swash13;deep;0.045478998;0.260752753
swash14;deep;0.059034151;0.274488515
swash15;deep;0.069161871;0.249222049
swash16;deep;0.060693765;0.213774408
swash17;deep;0.047198304;0.23870248
swash18;deep;0.0519573;0.270403015
swash19;deep;0.052193888;0.261485596
swash2;deep;0.071484791;0.229958887
swash20;deep;0.073778786;0.25703798
swash21;deep;0.061769989;0.23480312
swash22;deep;0.073643451;0.259834075
swash23;deep;0.069662308;0.260467816
swash24;deep;0.044105236;0.276051856
swash25;deep;0.06735193;0.263385603
swash26;deep;0.065686317;0.236522374
swash27;deep;0.064039233;0.248664343
swash28;deep;0.063614264;0.249751286
swash29;deep;0.065447612;0.263070349
swash3;deep;0.089753399;0.260371936
swash30;deep;0.061156649;0.247922896
swash31;deep;0.076314103;0.250504716
swash32;deep;0.064896305;0.265901823
swash33;deep;0.06468026;0.228094747
swash34;deep;0.061957637;0.263163808
swash35;deep;0.059375086;0.258484769
swash36;deep;0.064184461;0.237970653
swash37;deep;0.04368572;0.254300249
swash38;deep;0.055473393;0.245466485
swash39;deep;0.039737184;0.23633543
swash4;deep;0.046137261;0.234938893
swash40;deep;0.067455795;0.255447874
swash41;deep;0.051003166;0.260411736
swash42;deep;0.064021361;0.264588033
swash43;deep;0.067962011;0.237032518
swash44;deep;0.056951575;0.228730484
swash45;deep;0.062156283;0.258691858
swash46;deep;0.073182881;0.255468724
swash47;deep;0.062312889;0.256305358
swash48;deep;0.07834545;0.225881396
swash49;deep;0.074022617;0.246518484
swash5;deep;0.054830899;0.256830019
swash50;deep;0.078562456;0.255624914
swash51;deep;0.064879652;0.246332341
swash52;deep;0.061790791;0.239039239
swash53;deep;0.077719861;0.27166434
swash54;deep;0.06101782;0.278223059
swash55;deep;0.061174365;0.233335131
swash56;deep;0.071945344;0.236628137
swash57;deep;0.066512472;0.261658495
swash58;deep;0.055230886;0.251708228
swash59;deep;0.063447385;0.229945303
swash6;deep;0.058983015;0.229653969
swash60;deep;0.05349809;0.229853542
swash61;deep;0.04593475;0.208816622
swash62;deep;0.063359753;0.273072339
